N° Factura,Archivo Fuente,Concepto,Dato Medida (Paréntesis),Gasto Real (CLP)
26218922,Ago 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   81127,000         81279,000",,
26218922,Ago 2022 - VOGT.json,Administración del servicio,,669
26218922,Ago 2022 - VOGT.json,Electricidad Consumida,45600kWh,2.866.744
26218922,Ago 2022 - VOGT.json,Cargo por Servicio Público,,23.164
26218922,Ago 2022 - VOGT.json,Transporte de electricidad,,565.623
26218922,Ago 2022 - VOGT.json,Arriendo Medidor,,28.063
26218922,Ago 2022 - VOGT.json,Dem. Horas punta,"78,000kW",411.575
26218922,Ago 2022 - VOGT.json,Dem Max.,"169,500kW",223.925
26218922,Ago 2022 - VOGT.json,Multa por consumo reactivo,,219.598
26218922,Ago 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
26218922,Ago 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 5.159.438,,
26218922,Ago 2022 - VOGT.json,Total I.V.A.,19%,820.077
26218922,Ago 2022 - VOGT.json,Monto Exento,,23.164
26218922,Ago 2022 - VOGT.json,Monto Total,,5.159.438
26218922,Ago 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
26218922,Ago 2022 - VOGT.json,Total a Pagar,,5.159.438
26218922,Ago 2022 - VOGT.json,Suma Gasto Real (Calculada),,5.159.438
26218922,Ago 2022 - VOGT.json,Dato Real (Extraído de JSON),,5.159.438
26218922,Ago 2022 - VOGT.json,Diferencia Suma vs Real,,0
28917299,Ago 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0011268624   Compañía   1000,00   0,000    135,805        13",,
28917299,Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 7-/-0/2024,,
28917299,Ago 2023 - VOGT.json,Electricidad Consumida,135805kWh,361.241
28917299,Ago 2023 - VOGT.json,Dem.Horas Punta PDx,"102,000kW",37.212
28917299,Ago 2023 - VOGT.json,Demanda Max. Sumi. PDx,"259,000kW",472.465
28917299,Ago 2023 - VOGT.json,Cargo Fijo Mensual PDx,,669
28917299,Ago 2023 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 335,0        102,0        1338543-2",,
28917299,Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 126-0617-7947,,
28917299,Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 3.318.423,,
28917299,Ago 2023 - VOGT.json,Total Monto Neto,,871.587
28917299,Ago 2023 - VOGT.json,Total I.V.A.,19%,165.602
28917299,Ago 2023 - VOGT.json,Monto Total,,1.037.189
28917299,Ago 2023 - VOGT.json,Saldo anterior,,2.281.234
28917299,Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: %&' å33I}S(((I:RF<(((ç,,
28917299,Ago 2023 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
28917299,Ago 2023 - VOGT.json,Total a Pagar,,3.318.423
28917299,Ago 2023 - VOGT.json,Suma Gasto Real (Calculada),,1.037.189
28917299,Ago 2023 - VOGT.json,Dato Real (Extraído de JSON),,1.037.189
28917299,Ago 2023 - VOGT.json,Diferencia Suma vs Real,,0
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Fecha límite de modificación de su contrato de tarifa,,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 7-/-0/2025,,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Especificaciones:  de consumo  Antecedentes generales  Escan,,
31061687,Agosto 2024 - VOGT.json,Electricidad Consumida,30989kWh,956.803
31061687,Agosto 2024 - VOGT.json,Cargo por compra de potencia,"97,115kW",12.585
31061687,Agosto 2024 - VOGT.json,Dem.Horas Punta PDx,"112,000kW",38.791
31061687,Agosto 2024 - VOGT.json,Demanda Max. Sumi. PDx,"343,000kW",593.997
31061687,Agosto 2024 - VOGT.json,Cargo Fijo Mensual PDx,,695
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Demandas máximas leidas kw  Número de cliente,,
31061687,Agosto 2024 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 350,0  112,0  punta  1338543-2",,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Consumo total kywh,,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 30989  Ruta,,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Información al cliente  126-0617-7947  —,,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: INDUSTRIA MECANICA VOGT S A,,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Total a pagar   Es,,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 836.416   Es>,,
31061687,Agosto 2024 - VOGT.json,Total Monto Neto,,702.871
31061687,Agosto 2024 - VOGT.json,Total I.V.A.,19%,133.545
31061687,Agosto 2024 - VOGT.json,Monto Total,,836.416
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Páguese hasta el 26/09/2024  Total a pagar  836.416  %!&',,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: % &'  ——— — —,,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: A TU  %&',,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: DOCUMENTO ACOGIDO,,
31061687,Agosto 2024 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: A ENVÍO ELECTRÓNICO,,
31061687,Agosto 2024 - VOGT.json,Total a Pagar,,836.416
31061687,Agosto 2024 - VOGT.json,Suma Gasto Real (Calculada),,1.736.416
31061687,Agosto 2024 - VOGT.json,Dato Real (Extraído de JSON),,836.416
31061687,Agosto 2024 - VOGT.json,Diferencia Suma vs Real,,900.000
26923948,Dic 2022 - VOGT.json,"⚠️ LÍNEA NO RECONOCIDA: 0000082475   Compañía   300,00   81710,000         81842,000",,
26923948,Dic 2022 - VOGT.json,Administración del servicio,,669
26923948,Dic 2022 - VOGT.json,Electricidad Consumida,39600kWh,2.489.541
26923948,Dic 2022 - VOGT.json,Cargo por Servicio Público,,39.483
26923948,Dic 2022 - VOGT.json,Transporte de electricidad,,491.198
26923948,Dic 2022 - VOGT.json,Arriendo Medidor,,29.390
26923948,Dic 2022 - VOGT.json,Dem. Horas punta,"88,500kW",466.979
26923948,Dic 2022 - VOGT.json,Dem Max.,"183,000kW",241.760
26923948,Dic 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 106-0119-0981,,
26923948,Dic 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: 4.465.732,,
26923948,Dic 2022 - VOGT.json,Total I.V.A.,19%,706.712
26923948,Dic 2022 - VOGT.json,Monto Exento,,39.483
26923948,Dic 2022 - VOGT.json,Monto Total,,4.465.732
26923948,Dic 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: N° 11T del 24/08/2017,,
26923948,Dic 2022 - VOGT.json,⚠️ LÍNEA NO RECONOCIDA: Verifique documento www.sii.cl,,
